label,mean,rms,peak
1F,-0.0004447958279668483,0.03886345700959224,0.14086769006359057
2F,-0.0008568102092628342,0.046694827186492156,0.11842396658456075
3F,-0.0023065351294781745,0.0581759102299664,0.17423182581288163
TMD,-0.002508059651871192,0.06604865907717844,0.12356083984477413
