Time,F_eff,x_AAM,x_LAM,x_Wilson,x_CDM,v_AAM,v_LAM,v_Wilson,v_CDM,a_AAM,a_LAM,a_Wilson,a_CDM
0.0,-12500.000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.6,-96.6,-96.6,-96.6
0.01,-12500.000000000002,-0.004588292701644618,-0.004667869934166034,-0.009284022947261546,-0.004991124630161873,-0.9176585403289237,-0.9173609802498103,-0.8908045894523096,-0.9545017770091483,-86.93170806578473,-86.87219604996204,-89.08045894523096,-91.07786279859221
0.02,-12500.000000000002,-0.017725528248005103,-0.017926352161560983,-0.029958518515892978,-0.019090035540182966,-1.7097885689431735,-1.7084617274690534,-2.3532899348216674,-1.7956108188708846,-71.49429765706526,-71.34795339388666,-146.24853453693575,-77.14394557375505
0.03,-12500.000000000002,-0.03790543923677675,-0.03824829455241033,-0.0768269689010489,-0.040903341007579565,-2.3261936288111555,-2.3229194953472634,-5.5579147968401585,-2.469896385160469,-51.78671431653123,-51.54360018175544,-320.4624862018492,-57.71316768416183
0.04,-12500.000000000002,-0.06320020303345876,-0.06368219146863378,-0.1858058152729612,-0.06848796324339235,-2.7327591305252468,-2.7266120832637326,-13.033229615523812,-2.9308147744380006,-29.526386026286957,-29.194917401538305,-747.5314818683653,-34.47051017134446
0.05,-12500.000000000002,-0.09142868636198084,-0.09202339174374105,-0.4414076156847594,-0.09951963649633958,-2.91293753517917,-2.903161328997023,-30.61181564815217,0.0,-6.509294904497608,-6.114931745119975,-1757.8586032628357,0.0
